Plant_type,Treatment,Valarate_C18P,Chorismate_C18N,Glyoxalate_HILN
ptxDNt-36,Pi,1696978000,1538639148,612358003.5
ptxDNt-36,Pi,1202686000,1925152919,15462394873
ptxDNt-36,Pi,2716338000,1152125376,6453062015
ptxDNt-36,Low P,872241400,3229438212,43262850288
ptxDNt-36,Low P,842568800,3296358005,1.07E+11
ptxDNt-36,Low P,1565768896,9861854882,91429757919
ptxDNt-36,Phi,2670724000,2082314455,88771596215
ptxDNt-36,Phi,1181915000,1784293285,29975940.75
ptxDNt-36,Phi,2942354000,1977957800,138258568.4
ptxDNt-36,Pi/Phi mix,1478279000,910485492.5,24120045.55
ptxDNt-36,Pi/Phi mix,2355934000,661100556.1,6535084204
ptxDNt-36,Pi/Phi mix,1141073000,342602824.8,3636973990
Bulk Soil,Pi,250808.9,40000183.97,11350902.35
Bulk Soil,Low P,298472.1,46779644.99,110340329.2
Bulk Soil,Phi,556286.6,36622964.38,91917002.63
Bulk Soil,Pi/Phi mix,112652,45474424.32,179993072.4
Wild Type,Pi,1639604000,2418627025,5833487954
Wild Type,Pi,1097783000,3622869503,1125240413
Wild Type,Pi,3033908000,1832280112,20908328507
Wild Type,Low P,1127601985,3356201569,1.22E+11
Wild Type,Low P,1064440117,4567713208,43468610740
Wild Type,Low P,1308948256,5244932515,5405376217
Wild Type,Pi/Phi mix,1507514971,6733378009,20174647289
Wild Type,Pi/Phi mix,2228177000,3785857411,1356.363732
Wild Type,Pi/Phi mix,2479873000,9585169827,146.3931383
